horizon_percent,feature_set,n_features,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,seconds
50,Statistical_28,28,0.7462370827465576,0.02798727592922702,0.9122222222222223,0.7806405527849853,0.781046878177581,0.9130393705194506,2.73411308499999
50,Full_temporal_82,82,0.784904325010322,0.035677556674511994,0.9244444444444444,0.815669567226837,0.8124794092885911,0.9254870681364636,8.19534833299997
50,Statistical_plus_endpoint_change,40,0.8013241482313042,0.011389583640643427,0.9222222222222223,0.8102255291464886,0.8016595567974749,0.9231607683596048,4.083186904000058
50,Statistical_plus_trend,36,0.7609876634859111,0.030450895864306406,0.91,0.769288888496259,0.766356424953294,0.9113941644416821,3.301378050999915
50,Statistical_plus_local_dynamics,44,0.7824575692053175,0.026298935050627303,0.9133333333333333,0.7850890707060505,0.786649940175323,0.9140880874281359,3.6720296180000105
50,Statistical_plus_phase_shift,40,0.76702630494526,0.016253937311873887,0.9155555555555556,0.7861795582489497,0.7823601486201288,0.9166367295857754,4.093857064999952
50,Statistical_plus_cross_gas_correlation,34,0.7497243737009064,0.0242743757275584,0.9055555555555556,0.7482272023356913,0.7545989298692977,0.9060551223545695,3.221287132000043
50,Full_minus_endpoint_change,70,0.7815735508002619,0.027911711682614578,0.9233333333333333,0.8078607431867275,0.8056940227220655,0.9240904519044221,6.758220598999969
50,Full_minus_trend,74,0.794458602610468,0.030940207927046826,0.9211111111111111,0.7976566615540743,0.8010326464493083,0.9216121381833774,7.887033341999995
50,Full_minus_local_dynamics,66,0.7992615914731439,0.03445430060440249,0.9144444444444444,0.7873144675370223,0.7832230486933457,0.9154144648946629,5.940001780999978
50,Full_minus_phase_shift,70,0.7753409481319118,0.033784175773218884,0.9211111111111111,0.8065232257634223,0.8032979828616109,0.9219778418786365,6.440166970000064
50,Full_minus_cross_gas_correlation,76,0.7967639878057551,0.030137325495745684,0.9266666666666666,0.8068334746502714,0.807661364715343,0.9270784149469573,7.528617155999996
75,Statistical_28,28,0.8458555157218172,0.02926343110301677,0.9411111111111111,0.8596105666196979,0.848427950895946,0.9423253357606315,2.5288577510000323
75,Full_temporal_82,82,0.8837260906808673,0.022551445030789697,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,8.009231870999997
75,Statistical_plus_endpoint_change,40,0.8841977015146714,0.008477569220778016,0.9533333333333334,0.9030069606133047,0.8947136248601456,0.9542636148142664,4.7046867469999825
75,Statistical_plus_trend,36,0.8488816186690487,0.017063746983475927,0.9477777777777778,0.8778260804276931,0.8649967313784537,0.9491285032295395,3.7853811310000083
75,Statistical_plus_local_dynamics,44,0.8815615622306133,0.01351359394245956,0.9655555555555555,0.9505870443827887,0.9261665786320604,0.9664575356534225,3.8195637080000324
75,Statistical_plus_phase_shift,40,0.8526537123585601,0.015617127539910184,0.9488888888888889,0.8734080341394103,0.8688995316616772,0.9500491495365618,4.149020167999993
75,Statistical_plus_cross_gas_correlation,34,0.8403452460758251,0.008636461131874395,0.9466666666666667,0.8577903860591912,0.8576080711525916,0.9472631645117945,3.2886573229999385
75,Full_minus_endpoint_change,70,0.8828016801105678,0.03622448182723851,0.9577777777777777,0.906505379116748,0.898955548288261,0.9582671750629349,6.10860523100007
75,Full_minus_trend,74,0.8883427360644992,0.03702444745901771,0.96,0.9071893736447918,0.9007203217506851,0.9604073897507543,7.662478255999986
75,Full_minus_local_dynamics,66,0.8962724304371609,0.015262308068417168,0.9577777777777777,0.9085586394452696,0.9042953130941622,0.9582017250533194,6.903622089999999
75,Full_minus_phase_shift,70,0.8839022118220262,0.026988850794325423,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,6.232035205999978
75,Full_minus_cross_gas_correlation,76,0.8966997446576646,0.021107985871287382,0.9555555555555556,0.9168183782454081,0.9042768199233717,0.956457258407833,6.658887789000005
100,Statistical_28,28,0.9116501468861319,0.014910087705091722,0.97,0.934067566782512,0.9328652107464064,0.9704282871492107,2.3366585100000066
100,Full_temporal_82,82,0.9121562576396748,0.030382084548046563,0.9588888888888889,0.9148905569332847,0.9019357514162231,0.9599214737002505,7.771364901999959
100,Statistical_plus_endpoint_change,40,0.9323840852083036,0.010356507992930093,0.9633333333333334,0.9087917192132846,0.9105399673411707,0.9637362243500379,3.9099714910000785
100,Statistical_plus_trend,36,0.9281048799705461,0.015612571158326321,0.9666666666666667,0.9193377981099595,0.9169726198769461,0.9672017859916378,3.605124522999972
100,Statistical_plus_local_dynamics,44,0.9220733120532498,0.017456614348193254,0.9711111111111111,0.9356394407182224,0.9286112306522417,0.9716122185104172,3.899070629999983
100,Statistical_plus_phase_shift,40,0.9369283470231876,0.012699925002694986,0.9644444444444444,0.9186538035819158,0.9141404679836751,0.9650154238619765,3.7342830159999494
100,Statistical_plus_cross_gas_correlation,34,0.918057698785583,0.008631218701356733,0.9644444444444444,0.8964127863881021,0.9027997112973036,0.9649511229962286,3.2132979399999613
100,Full_minus_endpoint_change,70,0.9098119969934417,0.02884491482238592,0.96,0.9152325541973065,0.9072608721174988,0.9609467767241997,6.901931784999988
100,Full_minus_trend,74,0.9125031937401813,0.014581908932178428,0.9611111111111111,0.9045775578046247,0.8994239637014034,0.9618569956511062,7.180674380000028
100,Full_minus_local_dynamics,66,0.9316832538181437,0.01599106859458505,0.9633333333333334,0.9135517627655892,0.9100710023923675,0.9639489087381018,6.790003388000059
100,Full_minus_phase_shift,70,0.910875743049089,0.0238333318103297,0.96,0.9152325541973065,0.9042830950604183,0.9609650163348976,6.21824398900003
100,Full_minus_cross_gas_correlation,76,0.9157699146660505,0.024117446370045634,0.9633333333333334,0.9210185895416769,0.9102618601165171,0.9641694619059885,7.58408942899996
