horizon_percent,target_coverage,marginal_coverage,mean_set_size,median_set_size,singleton_rate,empty_set_rate,multi_label_rate
10,0.9,0.9077777777777778,1.3066666666666666,1.0,0.7288888888888889,0.0,0.27111111111111114
15,0.9,0.8911111111111111,1.3133333333333332,1.0,0.7133333333333334,0.0,0.2866666666666667
20,0.9,0.8966666666666666,1.38,1.0,0.6666666666666666,0.0,0.3333333333333333
25,0.9,0.8855555555555555,1.2966666666666666,1.0,0.7355555555555555,0.0,0.2644444444444444
30,0.9,0.8933333333333333,1.3288888888888888,1.0,0.7055555555555556,0.0,0.29444444444444445
35,0.9,0.8988888888888888,1.251111111111111,1.0,0.7677777777777778,0.0,0.23222222222222222
40,0.9,0.8966666666666666,1.2277777777777779,1.0,0.7888888888888889,0.0,0.2111111111111111
45,0.9,0.9133333333333333,1.2566666666666666,1.0,0.7688888888888888,0.0,0.2311111111111111
50,0.9,0.9044444444444445,1.1722222222222223,1.0,0.8333333333333334,0.0,0.16666666666666666
55,0.9,0.8933333333333333,1.1033333333333333,1.0,0.9011111111111111,0.0,0.09888888888888889
60,0.9,0.9,1.1022222222222222,1.0,0.9,0.0,0.1
65,0.9,0.9066666666666666,1.07,1.0,0.9255555555555556,0.0022222222222222222,0.07222222222222222
70,0.9,0.9055555555555556,1.04,1.0,0.9466666666666667,0.0077777777777777776,0.04555555555555556
75,0.9,0.9055555555555556,1.0144444444444445,1.0,0.9488888888888889,0.01888888888888889,0.03222222222222222
80,0.9,0.9044444444444445,0.99,1.0,0.9411111111111111,0.034444444444444444,0.024444444444444446
85,0.9,0.9033333333333333,0.9966666666666667,1.0,0.9344444444444444,0.034444444444444444,0.03111111111111111
90,0.9,0.8933333333333333,0.9822222222222222,1.0,0.9244444444444444,0.04666666666666667,0.028888888888888888
95,0.9,0.8922222222222222,0.98,1.0,0.9166666666666666,0.052222222222222225,0.03111111111111111
100,0.9,0.8877777777777778,0.9777777777777777,1.0,0.92,0.051111111111111114,0.028888888888888888
