horizon_percent,class_label,class_name,n_test,empirical_class_coverage,class_singleton_rate,class_mean_set_size
10,1,Normal mode,731,0.893296853625171,0.8166894664842681,1.2065663474692203
10,2,Partial discharge,38,0.9473684210526315,0.21052631578947367,1.9473684210526316
10,3,Low energy discharge,49,1.0,0.4897959183673469,1.5714285714285714
10,4,Low-temperature overheating,82,0.9634146341463414,0.32926829268292684,1.7439024390243902
15,1,Normal mode,731,0.8741450068399452,0.7961696306429549,1.213406292749658
15,2,Partial discharge,38,0.9473684210526315,0.2631578947368421,1.894736842105263
15,3,Low energy discharge,49,0.9795918367346939,0.3673469387755102,1.7142857142857142
15,4,Low-temperature overheating,82,0.9634146341463414,0.3902439024390244,1.6951219512195121
20,1,Normal mode,731,0.8823529411764706,0.7455540355677155,1.2886456908344732
20,2,Partial discharge,38,0.8421052631578947,0.34210526315789475,1.8157894736842106
20,3,Low energy discharge,49,1.0,0.2857142857142857,1.7755102040816326
20,4,Low-temperature overheating,82,0.9878048780487805,0.34146341463414637,1.7560975609756098
25,1,Normal mode,731,0.8741450068399452,0.811217510259918,1.2120383036935705
25,2,Partial discharge,38,0.8947368421052632,0.42105263157894735,1.7105263157894737
25,3,Low energy discharge,49,0.9795918367346939,0.40816326530612246,1.653061224489796
25,4,Low-temperature overheating,82,0.926829268292683,0.4024390243902439,1.646341463414634
30,1,Normal mode,731,0.8727770177838577,0.7893296853625171,1.2325581395348837
30,2,Partial discharge,38,1.0,0.3157894736842105,1.7894736842105263
30,3,Low energy discharge,49,1.0,0.3673469387755102,1.6938775510204083
30,4,Low-temperature overheating,82,0.9634146341463414,0.34146341463414637,1.7560975609756098
35,1,Normal mode,731,0.8809849521203831,0.8331053351573188,1.1778385772913817
35,2,Partial discharge,38,1.0,0.39473684210526316,1.6842105263157894
35,3,Low energy discharge,49,0.9795918367346939,0.5510204081632653,1.489795918367347
35,4,Low-temperature overheating,82,0.9634146341463414,0.4878048780487805,1.5609756097560976
40,1,Normal mode,731,0.8823529411764706,0.8604651162790697,1.1518467852257182
40,2,Partial discharge,38,1.0,0.39473684210526316,1.631578947368421
40,3,Low energy discharge,49,0.9387755102040817,0.5918367346938775,1.4285714285714286
40,4,Low-temperature overheating,82,0.9512195121951219,0.45121951219512196,1.5975609756097562
45,1,Normal mode,731,0.9001367989056087,0.8303693570451436,1.1915184678522572
45,2,Partial discharge,38,1.0,0.47368421052631576,1.5789473684210527
45,3,Low energy discharge,49,0.9387755102040817,0.5714285714285714,1.4285714285714286
45,4,Low-temperature overheating,82,0.975609756097561,0.47560975609756095,1.5853658536585367
