id,true_label,stop_horizon_percent,predicted_label,stable_singleton,correct,set_size_at_stop_or_endpoint
2_trans_1853.csv,1,15,1,1,1,1
2_trans_1106.csv,1,40,1,1,1,1
2_trans_1112.csv,1,15,1,1,1,1
2_trans_1674.csv,1,15,1,1,1,1
2_trans_1890.csv,1,60,3,1,0,1
2_trans_1648.csv,1,15,3,1,0,1
2_trans_33.csv,1,15,1,1,1,1
2_trans_871.csv,1,15,1,1,1,1
2_trans_1462.csv,1,15,1,1,1,1
2_trans_1476.csv,1,75,1,1,1,1
2_trans_2619.csv,1,70,4,1,0,1
2_trans_1338.csv,1,15,1,1,1,1
2_trans_2631.csv,1,15,1,1,1,1
2_trans_2625.csv,1,15,1,1,1,1
2_trans_939.csv,4,30,3,1,0,1
2_trans_722.csv,1,15,1,1,1,1
2_trans_1258.csv,4,15,4,1,1,1
2_trans_285.csv,1,15,1,1,1,1
2_trans_1933.csv,1,70,1,1,1,1
2_trans_1927.csv,1,15,1,1,1,1
2_trans_1700.csv,1,15,1,1,1,1
2_trans_534.csv,1,15,1,1,1,1
2_trans_2209.csv,1,15,1,1,1,1
2_trans_2221.csv,1,40,1,1,1,1
2_trans_2547.csv,1,15,1,1,1,1
2_trans_2220.csv,1,15,4,1,0,1
2_trans_1729.csv,1,15,1,1,1,1
2_trans_2546.csv,1,20,3,1,0,1
2_trans_2208.csv,1,15,1,1,1,1
2_trans_1701.csv,1,15,1,1,1,1
2_trans_247.csv,1,15,1,1,1,1
2_trans_2591.csv,1,15,1,1,1,1
2_trans_1926.csv,1,15,1,1,1,1
2_trans_1932.csv,1,65,1,1,1,1
2_trans_1259.csv,1,15,1,1,1,1
2_trans_2744.csv,1,15,1,1,1,1
2_trans_1503.csv,1,15,1,1,1,1
2_trans_2787.csv,1,15,1,1,1,1
2_trans_2977.csv,2,20,4,1,0,1
2_trans_938.csv,1,15,1,1,1,1
2_trans_2142.csv,3,15,3,1,1,1
2_trans_119.csv,3,70,3,1,1,1
2_trans_2156.csv,1,15,3,1,0,1
2_trans_125.csv,1,15,1,1,1,1
2_trans_864.csv,1,15,1,1,1,1
2_trans_2181.csv,1,15,1,1,1,1
2_trans_680.csv,1,70,1,1,1,1
2_trans_1891.csv,1,25,1,1,1,1
2_trans_2432.csv,1,35,1,1,1,1
2_trans_327.csv,3,100,4,0,0,2
2_trans_455.csv,1,15,1,1,1,1
2_trans_2368.csv,1,55,1,1,1,1
2_trans_1852.csv,1,75,3,1,0,1
