horizon_percent,class_label,class_name,n_calibration,alpha,q_nonconformity,probability_inclusion_threshold
10,1,Normal mode,511,0.1,0.18649759349260353,0.8135024065073965
10,2,Partial discharge,27,0.1,0.9614246607065137,0.03857533929348633
10,3,Low energy discharge,34,0.1,0.9841934130039187,0.015806586996081284
10,4,Low-temperature overheating,58,0.1,0.9858022702994921,0.014197729700507922
15,1,Normal mode,511,0.1,0.1601661277996571,0.8398338722003429
15,2,Partial discharge,27,0.1,0.9786758649313763,0.02132413506862374
15,3,Low energy discharge,34,0.1,0.9832984696291276,0.01670153037087241
15,4,Low-temperature overheating,58,0.1,0.992178411286633,0.007821588713367023
20,1,Normal mode,511,0.1,0.16718278264235775,0.8328172173576422
20,2,Partial discharge,27,0.1,0.841332037571318,0.15866796242868197
20,3,Low energy discharge,34,0.1,0.9911614858544086,0.008838514145591447
20,4,Low-temperature overheating,58,0.1,0.9950348153881051,0.0049651846118948795
25,1,Normal mode,511,0.1,0.15470253303981152,0.8452974669601885
25,2,Partial discharge,27,0.1,0.9332520258844507,0.06674797411554934
25,3,Low energy discharge,34,0.1,0.9872950758885086,0.012704924111491378
25,4,Low-temperature overheating,58,0.1,0.9899057534704104,0.010094246529589568
30,1,Normal mode,511,0.1,0.15990199756317636,0.8400980024368236
30,2,Partial discharge,27,0.1,0.9888922470439514,0.0111077529560486
30,3,Low energy discharge,34,0.1,0.9848302553977553,0.015169744602244739
30,4,Low-temperature overheating,58,0.1,0.9929813205793575,0.007018679420642493
35,1,Normal mode,511,0.1,0.14661390226831506,0.853386097731685
35,2,Partial discharge,27,0.1,0.9703819088989174,0.0296180911010826
35,3,Low energy discharge,34,0.1,0.9806400931563661,0.019359906843633867
35,4,Low-temperature overheating,58,0.1,0.9847580408022699,0.015241959197730082
40,1,Normal mode,511,0.1,0.1497752030932501,0.8502247969067499
40,2,Partial discharge,27,0.1,0.9999310882061424,6.89117938575956e-05
40,3,Low energy discharge,34,0.1,0.9767895511262413,0.02321044887375867
40,4,Low-temperature overheating,58,0.1,0.9884634217359595,0.011536578264040531
45,1,Normal mode,511,0.1,0.18462741306459518,0.8153725869354048
45,2,Partial discharge,27,0.1,0.9989861272211854,0.0010138727788145951
45,3,Low energy discharge,34,0.1,0.9899834129569213,0.010016587043078728
45,4,Low-temperature overheating,58,0.1,0.9955571442483759,0.004442855751624064
50,1,Normal mode,511,0.1,0.09894731961253866,0.9010526803874613
50,2,Partial discharge,27,0.1,0.9906522915076446,0.009347708492355444
50,3,Low energy discharge,34,0.1,0.9853227536135404,0.01467724638645962
50,4,Low-temperature overheating,58,0.1,0.9936269057641398,0.006373094235860188
55,1,Normal mode,511,0.1,0.0461756213008363,0.9538243786991637
55,2,Partial discharge,27,0.1,0.9486352539206869,0.05136474607931307
55,3,Low energy discharge,34,0.1,0.9851209180224834,0.01487908197751664
55,4,Low-temperature overheating,58,0.1,0.9916611639777024,0.008338836022297569
60,1,Normal mode,511,0.1,0.02876115073522001,0.97123884926478
60,2,Partial discharge,27,0.1,0.8646947690751647,0.13530523092483526
60,3,Low energy discharge,34,0.1,0.9846411118652627,0.015358888134737292
60,4,Low-temperature overheating,58,0.1,0.9973892900593634,0.002610709940636613
65,1,Normal mode,511,0.1,0.015930828224850258,0.9840691717751497
65,2,Partial discharge,27,0.1,0.7742524428666446,0.22574755713335537
65,3,Low energy discharge,34,0.1,0.9309140110408123,0.06908598895918772
65,4,Low-temperature overheating,58,0.1,0.9985973393238607,0.0014026606761392557
70,1,Normal mode,511,0.1,0.0039844466932310585,0.9960155533067689
70,2,Partial discharge,27,0.1,0.75384816055684,0.24615183944316
70,3,Low energy discharge,34,0.1,0.9916747056932723,0.008325294306727682
70,4,Low-temperature overheating,58,0.1,0.9913332510628258,0.008666748937174229
75,1,Normal mode,511,0.1,0.0018243929863311914,0.9981756070136688
75,2,Partial discharge,27,0.1,0.519789377261856,0.48021062273814397
75,3,Low energy discharge,34,0.1,0.988227194327136,0.011772805672863984
75,4,Low-temperature overheating,58,0.1,0.9880942494221117,0.011905750577888341
80,1,Normal mode,511,0.1,0.0006067329273468092,0.9993932670726532
80,2,Partial discharge,27,0.1,0.8655825970275107,0.13441740297248927
80,3,Low energy discharge,34,0.1,0.9613990604993458,0.03860093950065424
80,4,Low-temperature overheating,58,0.1,0.9835311204769102,0.01646887952308984
85,1,Normal mode,511,0.1,0.00016969942515776548,0.9998303005748422
85,2,Partial discharge,27,0.1,0.8403590302595012,0.1596409697404988
85,3,Low energy discharge,34,0.1,0.9880821727695902,0.011917827230409794
85,4,Low-temperature overheating,58,0.1,0.9946164518628923,0.00538354813710773
90,1,Normal mode,511,0.1,5.573564474203874e-05,0.999944264355258
90,2,Partial discharge,27,0.1,0.9047205760708944,0.0952794239291056
90,3,Low energy discharge,34,0.1,0.99638510192812,0.0036148980718799795
90,4,Low-temperature overheating,58,0.1,0.9860153443368107,0.013984655663189294
95,1,Normal mode,511,0.1,2.10288836334227e-05,0.9999789711163666
95,2,Partial discharge,27,0.1,0.92949736912697,0.07050263087302999
95,3,Low energy discharge,34,0.1,0.9958217177193374,0.004178282280662637
95,4,Low-temperature overheating,58,0.1,0.9894488050389711,0.010551194961028854
100,1,Normal mode,511,0.1,1.5446770457949732e-05,0.999984553229542
100,2,Partial discharge,27,0.1,0.7821777899785753,0.21782221002142466
100,3,Low energy discharge,34,0.1,0.9948472419879824,0.005152758012017644
100,4,Low-temperature overheating,58,0.1,0.9955423280329975,0.00445767196700253
