horizon_percent,representation,n_features,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,paired_ci95_low,paired_ci95_high
10,Statistical_28,28.0,0.6860952288783262,0.02285322989484718,0.8866666666666667,0.7057430354892651,0.7043538124965185,0.8842834997361506,,
10,Temporal_82,82.0,0.6552373192770838,0.0721763206577229,0.89,0.7036453534155699,0.7190099142232966,0.8881172416175924,,
10,Temporal_minus_Statistical,,,,,,0.014656101726778115,,-0.03493235826123095,0.06211103752091666
15,Statistical_28,28.0,0.6921559999711568,0.022020133250766488,0.8922222222222222,0.7116367115852521,0.7167587935383195,0.8885187603117431,,
15,Temporal_82,82.0,0.6514939957673427,0.0470854438859148,0.89,0.707175520296186,0.7204220057284183,0.88837203636891,,
15,Temporal_minus_Statistical,,,,,,0.003663212190098797,,-0.04305577259756431,0.0518905214742071
20,Statistical_28,28.0,0.6948475014179589,0.023784183214281104,0.8911111111111111,0.7110476844408241,0.7179678002553412,0.888919468732957,,
20,Temporal_82,82.0,0.6690210105308403,0.05306188492366588,0.88,0.6711065639498777,0.6919826464834825,0.8774483887531168,,
20,Temporal_minus_Statistical,,,,,,-0.025985153771858727,,-0.07233907313876864,0.01891660263980565
25,Statistical_28,28.0,0.6899901289694107,0.03310342575959594,0.8944444444444445,0.7284842363371596,0.7326781585125484,0.893000826521308,,
25,Temporal_82,82.0,0.69058832666181,0.066670800266072,0.8766666666666667,0.6565466560388971,0.6809492055187607,0.8728227090857404,,
25,Temporal_minus_Statistical,,,,,,-0.05172895299378766,,-0.10310208510362226,-0.0018938508421695234
30,Statistical_28,28.0,0.6987473022815932,0.034511889305534955,0.8888888888888888,0.7095403062559472,0.7161070431206984,0.8875892526869504,,
30,Temporal_82,82.0,0.6904976579892455,0.03245195943421255,0.8822222222222222,0.6836109357914585,0.6996069128827052,0.8801021903263568,,
30,Temporal_minus_Statistical,,,,,,-0.016500130237993238,,-0.06325251043095728,0.031188875365244284
35,Statistical_28,28.0,0.7116372612150845,0.021882672002320747,0.8988888888888888,0.7290288417364139,0.7414647764449633,0.8970507012990836,,
35,Temporal_82,82.0,0.6987221978784789,0.032827219740267845,0.8977777777777778,0.7437903587861392,0.7499781676474271,0.8971438650306748,,
35,Temporal_minus_Statistical,,,,,,0.00851339120246375,,-0.03709383509709883,0.05487232360991648
