scenario,severity,repeat,class_label,class_name,precision,recall,f1,support
relative_gaussian_noise,0.02,0,1,Normal mode,0.9920634920634921,0.17099863201094392,0.29171528588098017,731
relative_gaussian_noise,0.02,0,2,Partial discharge,0.6428571428571429,0.9473684210526315,0.7659574468085106,38
relative_gaussian_noise,0.02,0,3,Low energy discharge,0.06950354609929078,1.0,0.129973474801061,49
relative_gaussian_noise,0.02,0,4,Low-temperature overheating,0.38461538461538464,0.06097560975609756,0.10526315789473684,82
relative_gaussian_noise,0.02,1,1,Normal mode,1.0,0.1600547195622435,0.2759433962264151,731
relative_gaussian_noise,0.02,1,2,Partial discharge,0.6206896551724138,0.9473684210526315,0.75,38
relative_gaussian_noise,0.02,1,3,Low energy discharge,0.06882022471910113,1.0,0.1287779237844941,49
relative_gaussian_noise,0.02,1,4,Low-temperature overheating,0.5384615384615384,0.08536585365853659,0.14736842105263157,82
relative_gaussian_noise,0.02,2,1,Normal mode,1.0,0.1545827633378933,0.2677725118483412,731
relative_gaussian_noise,0.02,2,2,Partial discharge,0.6545454545454545,0.9473684210526315,0.7741935483870968,38
relative_gaussian_noise,0.02,2,3,Low energy discharge,0.06824512534818941,1.0,0.12777053455019557,49
relative_gaussian_noise,0.02,2,4,Low-temperature overheating,0.5,0.08536585365853659,0.14583333333333334,82
relative_gaussian_noise,0.02,3,1,Normal mode,0.9917355371900827,0.16415868673050615,0.28169014084507044,731
relative_gaussian_noise,0.02,3,2,Partial discharge,0.631578947368421,0.9473684210526315,0.7578947368421053,38
relative_gaussian_noise,0.02,3,3,Low energy discharge,0.06853146853146853,1.0,0.12827225130890052,49
relative_gaussian_noise,0.02,3,4,Low-temperature overheating,0.2857142857142857,0.024390243902439025,0.0449438202247191,82
relative_gaussian_noise,0.02,4,1,Normal mode,0.9915254237288136,0.1600547195622435,0.2756183745583039,731
relative_gaussian_noise,0.02,4,2,Partial discharge,0.6428571428571429,0.9473684210526315,0.7659574468085106,38
relative_gaussian_noise,0.02,4,3,Low energy discharge,0.06862745098039216,1.0,0.12844036697247707,49
relative_gaussian_noise,0.02,4,4,Low-temperature overheating,0.6666666666666666,0.0975609756097561,0.1702127659574468,82
relative_gaussian_noise,0.02,5,1,Normal mode,0.9927007299270073,0.18604651162790697,0.31336405529953915,731
relative_gaussian_noise,0.02,5,2,Partial discharge,0.6140350877192983,0.9210526315789473,0.7368421052631579,38
relative_gaussian_noise,0.02,5,3,Low energy discharge,0.06886657101865136,0.9795918367346939,0.128686327077748,49
relative_gaussian_noise,0.02,5,4,Low-temperature overheating,0.3333333333333333,0.036585365853658534,0.06593406593406594,82
relative_gaussian_noise,0.02,6,1,Normal mode,1.0,0.16415868673050615,0.282021151586369,731
relative_gaussian_noise,0.02,6,2,Partial discharge,0.6101694915254238,0.9473684210526315,0.7422680412371134,38
relative_gaussian_noise,0.02,6,3,Low energy discharge,0.06882022471910113,1.0,0.1287779237844941,49
relative_gaussian_noise,0.02,6,4,Low-temperature overheating,0.4444444444444444,0.04878048780487805,0.08791208791208792,82
relative_gaussian_noise,0.02,7,1,Normal mode,1.0,0.16279069767441862,0.28,731
relative_gaussian_noise,0.02,7,2,Partial discharge,0.5806451612903226,0.9473684210526315,0.72,38
relative_gaussian_noise,0.02,7,3,Low energy discharge,0.0676056338028169,0.9795918367346939,0.12648221343873517,49
relative_gaussian_noise,0.02,7,4,Low-temperature overheating,0.6666666666666666,0.07317073170731707,0.13186813186813187,82
relative_gaussian_noise,0.02,8,1,Normal mode,1.0,0.17783857729138167,0.30197444831591175,731
relative_gaussian_noise,0.02,8,2,Partial discharge,0.6545454545454545,0.9473684210526315,0.7741935483870968,38
relative_gaussian_noise,0.02,8,3,Low energy discharge,0.07010014306151645,1.0,0.13101604278074866,49
relative_gaussian_noise,0.02,8,4,Low-temperature overheating,0.3125,0.06097560975609756,0.10204081632653061,82
relative_gaussian_noise,0.02,9,1,Normal mode,1.0,0.15047879616963064,0.2615933412604043,731
relative_gaussian_noise,0.02,9,2,Partial discharge,0.6538461538461539,0.8947368421052632,0.7555555555555555,38
relative_gaussian_noise,0.02,9,3,Low energy discharge,0.0674931129476584,1.0,0.12645161290322582,49
relative_gaussian_noise,0.02,9,4,Low-temperature overheating,0.5,0.07317073170731707,0.1276595744680851,82
relative_gaussian_noise,0.02,10,1,Normal mode,1.0,0.17783857729138167,0.30197444831591175,731
relative_gaussian_noise,0.02,10,2,Partial discharge,0.6545454545454545,0.9473684210526315,0.7741935483870968,38
relative_gaussian_noise,0.02,10,3,Low energy discharge,0.06960227272727272,1.0,0.1301460823373174,49
relative_gaussian_noise,0.02,10,4,Low-temperature overheating,0.36363636363636365,0.04878048780487805,0.08602150537634409,82
relative_gaussian_noise,0.02,11,1,Normal mode,1.0,0.16415868673050615,0.282021151586369,731
relative_gaussian_noise,0.02,11,2,Partial discharge,0.5932203389830508,0.9210526315789473,0.7216494845360825,38
relative_gaussian_noise,0.02,11,3,Low energy discharge,0.06741573033707865,0.9795918367346939,0.12614980289093297,49
relative_gaussian_noise,0.02,11,4,Low-temperature overheating,0.3333333333333333,0.036585365853658534,0.06593406593406594,82
relative_gaussian_noise,0.02,12,1,Normal mode,1.0,0.16279069767441862,0.28,731
relative_gaussian_noise,0.02,12,2,Partial discharge,0.6206896551724138,0.9473684210526315,0.75,38
relative_gaussian_noise,0.02,12,3,Low energy discharge,0.06862745098039216,1.0,0.12844036697247707,49
relative_gaussian_noise,0.02,12,4,Low-temperature overheating,0.3333333333333333,0.036585365853658534,0.06593406593406594,82
relative_gaussian_noise,0.02,13,1,Normal mode,0.9918032786885246,0.16552667578659372,0.283704572098476,731
relative_gaussian_noise,0.02,13,2,Partial discharge,0.6166666666666667,0.9736842105263158,0.7551020408163265,38
relative_gaussian_noise,0.02,13,3,Low energy discharge,0.06818181818181818,0.9795918367346939,0.12749003984063745,49
relative_gaussian_noise,0.02,13,4,Low-temperature overheating,0.6428571428571429,0.10975609756097561,0.1875,82
