rank,mean_cv_macro_f1,std_cv_macro_f1,params
1,0.9151149577722736,0.02687170938100856,"{""model__C"": 30.0, ""model__class_weight"": null}"
2,0.9130559052360778,0.024926852144253848,"{""model__C"": 30.0, ""model__class_weight"": ""balanced""}"
3,0.9113147771489929,0.028572107033681092,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
4,0.9093743175863385,0.01511768042492823,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
5,0.9085811234671624,0.024570590768978037,"{""model__C"": 3.0, ""model__class_weight"": ""balanced""}"
6,0.9082325933081565,0.025802554240861978,"{""model__C"": 100.0, ""model__class_weight"": ""balanced""}"
7,0.9082322404314208,0.025894110186011815,"{""model__C"": 1.0, ""model__class_weight"": null}"
8,0.9077779249284047,0.02200087620559822,"{""model__C"": 3.0, ""model__class_weight"": null}"
9,0.9062032658615895,0.01860727572074867,"{""model__C"": 100.0, ""model__class_weight"": null}"
10,0.9048188515725519,0.02526515962020174,"{""model__C"": 10.0, ""model__class_weight"": null}"
11,0.8971986570802513,0.01380833920457515,"{""model__C"": 0.1, ""model__class_weight"": null}"
12,0.8963362885724129,0.01242644824433599,"{""model__C"": 0.3, ""model__class_weight"": null}"
13,0.8869066179322745,0.01770102167866194,"{""model__C"": 0.3, ""model__class_weight"": ""balanced""}"
14,0.8720580394340128,0.02207681971164521,"{""model__C"": 0.03, ""model__class_weight"": null}"
15,0.8676856560046184,0.02306803207922023,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
16,0.8402739296914781,0.026615563508316408,"{""model__C"": 0.01, ""model__class_weight"": null}"
17,0.8350664554643658,0.023017272345114196,"{""model__C"": 0.03, ""model__class_weight"": ""balanced""}"
18,0.7850709512067724,0.02235388613989195,"{""model__C"": 0.01, ""model__class_weight"": ""balanced""}"
