representation,observation_percent,class_label,class_name,precision,recall,f1,support
Statistical_28,25,1,Normal mode,0.9442934782608695,0.9507523939808481,0.9475119291070211,731
Statistical_28,25,2,Partial discharge,0.8205128205128205,0.8421052631578947,0.8311688311688312,38
Statistical_28,25,3,Low energy discharge,0.4782608695652174,0.4489795918367347,0.4631578947368421,49
Statistical_28,25,4,Low-temperature overheating,0.6962025316455697,0.6707317073170732,0.6832298136645962,82
Statistical_28,50,1,Normal mode,0.9614325068870524,0.9548563611491108,0.9581331503088538,731
Statistical_28,50,2,Partial discharge,0.8857142857142857,0.8157894736842105,0.8493150684931506,38
Statistical_28,50,3,Low energy discharge,0.5490196078431373,0.5714285714285714,0.56,49
Statistical_28,50,4,Low-temperature overheating,0.7272727272727273,0.7804878048780488,0.7529411764705882,82
Statistical_28,75,1,Normal mode,0.9819444444444444,0.9671682626538988,0.974500344589938,731
Statistical_28,75,2,Partial discharge,0.8611111111111112,0.8157894736842105,0.8378378378378378,38
Statistical_28,75,3,Low energy discharge,0.7169811320754716,0.7755102040816326,0.7450980392156863,49
Statistical_28,75,4,Low-temperature overheating,0.7692307692307693,0.8536585365853658,0.8092485549132948,82
Statistical_28,100,1,Normal mode,0.9889807162534435,0.9822161422708618,0.9855868222374743,731
Statistical_28,100,2,Partial discharge,0.9444444444444444,0.8947368421052632,0.918918918918919,38
Statistical_28,100,3,Low energy discharge,0.9375,0.9183673469387755,0.9278350515463918,49
Statistical_28,100,4,Low-temperature overheating,0.8222222222222222,0.9024390243902439,0.8604651162790697,82
Full_temporal_82,25,1,Normal mode,0.9267643142476698,0.9521203830369357,0.9392712550607287,731
Full_temporal_82,25,2,Partial discharge,0.84375,0.7105263157894737,0.7714285714285715,38
Full_temporal_82,25,3,Low energy discharge,0.4857142857142857,0.3469387755102041,0.40476190476190477,49
Full_temporal_82,25,4,Low-temperature overheating,0.5853658536585366,0.5853658536585366,0.5853658536585366,82
Full_temporal_82,50,1,Normal mode,0.9656593406593407,0.9616963064295485,0.9636737491432488,731
Full_temporal_82,50,2,Partial discharge,0.8648648648648649,0.8421052631578947,0.8533333333333334,38
Full_temporal_82,50,3,Low energy discharge,0.6111111111111112,0.673469387755102,0.6407766990291263,49
Full_temporal_82,50,4,Low-temperature overheating,0.7901234567901234,0.7804878048780488,0.7852760736196319,82
Full_temporal_82,75,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
Full_temporal_82,75,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
Full_temporal_82,75,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
Full_temporal_82,75,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
Full_temporal_82,100,1,Normal mode,0.9889042995839112,0.9753761969904241,0.9820936639118457,731
Full_temporal_82,100,2,Partial discharge,0.9444444444444444,0.8947368421052632,0.918918918918919,38
Full_temporal_82,100,3,Low energy discharge,0.8571428571428571,0.8571428571428571,0.8571428571428571,49
Full_temporal_82,100,4,Low-temperature overheating,0.7978723404255319,0.9146341463414634,0.8522727272727273,82
