metric,comparison_a,comparison_b,score_a,score_b,difference_b_minus_a,ci95_low,ci95_high,bootstrap_samples,observation_percent
accuracy,Statistical_28_h25,Full_temporal_82_h25,0.8933333333333333,0.8755555555555555,-0.01777777777777778,-0.03444444444444439,-0.0022222222222222365,5000,25
balanced_accuracy,Statistical_28_h25,Full_temporal_82_h25,0.7281422390731377,0.6487378319987875,-0.07940440707435015,-0.1346060828466538,-0.02509157606038037,5000,25
macro_f1,Statistical_28_h25,Full_temporal_82_h25,0.7312671171693226,0.6752068962274353,-0.05606022094188723,-0.10779913758307987,-0.004627299130272274,5000,25
accuracy,Statistical_28_h50,Full_temporal_82_h50,0.9122222222222223,0.9244444444444444,0.012222222222222134,-0.0011111111111110628,0.025555555555555554,5000,50
balanced_accuracy,Statistical_28_h50,Full_temporal_82_h50,0.7806405527849853,0.8144396905551485,0.03379913777016319,-0.018335150552160874,0.08939503889840462,5000,50
macro_f1,Statistical_28_h50,Full_temporal_82_h50,0.7800973488181482,0.8107649637813351,0.03066761496318693,-0.014782955621446776,0.07889966177618712,5000,50
accuracy,Statistical_28_h75,Full_temporal_82_h75,0.94,0.9566666666666667,0.01666666666666672,0.0022222222222222365,0.03111111111111109,5000,75
balanced_accuracy,Statistical_28_h75,Full_temporal_82_h75,0.8530316192512769,0.9034565986289431,0.05042497937766621,-0.0034104905199294788,0.10190650785704419,5000,75
macro_f1,Statistical_28_h75,Full_temporal_82_h75,0.8416711941391892,0.8971428631169127,0.05547166897772349,0.010181885048202183,0.10127089219389387,5000,75
accuracy,Statistical_28_h100,Full_temporal_82_h100,0.9677777777777777,0.96,-0.007777777777777772,-0.018888888888888955,0.0033333333333332993,5000,100
balanced_accuracy,Statistical_28_h100,Full_temporal_82_h100,0.9244398389262861,0.9104725106450019,-0.01396732828128422,-0.05168122240031757,0.02346978832500102,5000,100
macro_f1,Statistical_28_h100,Full_temporal_82_h100,0.9232014772454638,0.9026070418115872,-0.020594435433876512,-0.05369720065999554,0.010878554813474406,5000,100
