representation,observation_percent,confidence_threshold,accepted_cases,rejected_cases,coverage,accepted_accuracy,accepted_balanced_accuracy,accepted_macro_f1_fixed4,classes_present_in_accepted,accepted_class_1,coverage_class_1,accepted_class_2,coverage_class_2,accepted_class_3,coverage_class_3,accepted_class_4,coverage_class_4
Statistical_28,75,0.5,894,6,0.9933333333333333,0.9440715883668904,0.8576055400039146,0.8502930024468381,4,727,0.9945280437756497,38,1.0,48,0.9795918367346939,81,0.9878048780487805
Statistical_28,75,0.6,868,32,0.9644444444444444,0.9585253456221198,0.9010075952596729,0.8821353570830194,4,722,0.987688098495212,33,0.868421052631579,39,0.7959183673469388,74,0.9024390243902439
Statistical_28,75,0.7,844,56,0.9377777777777778,0.9691943127962085,0.9167720917396807,0.9005833922533667,4,711,0.9726402188782489,29,0.7631578947368421,37,0.7551020408163265,67,0.8170731707317073
Statistical_28,75,0.8,813,87,0.9033333333333333,0.9790897908979089,0.9598921448921449,0.9368788817462488,4,702,0.960328317373461,25,0.6578947368421053,30,0.6122448979591837,56,0.6829268292682927
Statistical_28,75,0.9,761,139,0.8455555555555555,0.988173455978975,0.9757938043836638,0.9613742236024845,4,674,0.9220246238030095,19,0.5,23,0.46938775510204084,45,0.5487804878048781
Statistical_28,75,0.95,718,182,0.7977777777777778,0.9944289693593314,0.9797514313643345,0.9744059023280731,4,651,0.8905608755129959,13,0.34210526315789475,21,0.42857142857142855,33,0.4024390243902439
Statistical_28,100,0.5,900,0,1.0,0.9677777777777777,0.9244398389262861,0.9232014772454638,4,731,1.0,38,1.0,49,1.0,82,1.0
Statistical_28,100,0.6,881,19,0.9788888888888889,0.9772985244040863,0.9559535224748207,0.9482103090543696,4,725,0.9917920656634747,34,0.8947368421052632,45,0.9183673469387755,77,0.9390243902439024
Statistical_28,100,0.7,868,32,0.9644444444444444,0.9827188940092166,0.9672546687808317,0.9596939798526871,4,720,0.9849521203830369,33,0.868421052631579,43,0.8775510204081632,72,0.8780487804878049
Statistical_28,100,0.8,848,52,0.9422222222222222,0.9858490566037735,0.968405758649661,0.9619771638689814,4,715,0.9781121751025992,27,0.7105263157894737,41,0.8367346938775511,65,0.7926829268292683
Statistical_28,100,0.9,818,82,0.9088888888888889,0.988997555012225,0.9707383601486276,0.9650850562592597,4,697,0.9534883720930233,25,0.6578947368421053,38,0.7755102040816326,58,0.7073170731707317
Statistical_28,100,0.95,785,115,0.8722222222222222,0.9936305732484076,0.9863374039042929,0.9797706582633053,4,681,0.9316005471956225,22,0.5789473684210527,34,0.6938775510204082,48,0.5853658536585366
Full_temporal_82,75,0.5,898,2,0.9977777777777778,0.9576837416481069,0.9034890489614629,0.8990815817627517,4,730,0.9986320109439124,38,1.0,49,1.0,81,0.9878048780487805
Full_temporal_82,75,0.6,886,14,0.9844444444444445,0.963882618510158,0.9090666978886295,0.9071945944469698,4,723,0.9890560875512996,38,1.0,48,0.9795918367346939,77,0.9390243902439024
Full_temporal_82,75,0.7,866,34,0.9622222222222222,0.9757505773672055,0.9466218916896283,0.937057868078635,4,717,0.9808481532147743,36,0.9473684210526315,41,0.8367346938775511,72,0.8780487804878049
Full_temporal_82,75,0.8,854,46,0.9488888888888889,0.977751756440281,0.9450937700148372,0.9378659278315672,4,711,0.9726402188782489,36,0.9473684210526315,38,0.7755102040816326,69,0.8414634146341463
Full_temporal_82,75,0.9,826,74,0.9177777777777778,0.9842615012106537,0.9633199721280996,0.9536316589993921,4,698,0.9548563611491108,34,0.8947368421052632,36,0.7346938775510204,58,0.7073170731707317
Full_temporal_82,75,0.95,807,93,0.8966666666666666,0.9876084262701363,0.9719056628880055,0.9570162725688931,4,694,0.9493844049247606,31,0.8157894736842105,31,0.6326530612244898,51,0.6219512195121951
Full_temporal_82,100,0.5,900,0,1.0,0.96,0.9104725106450019,0.9026070418115872,4,731,1.0,38,1.0,49,1.0,82,1.0
Full_temporal_82,100,0.6,888,12,0.9866666666666667,0.9628378378378378,0.9143154695151583,0.9073655672758792,4,723,0.9890560875512996,37,0.9736842105263158,48,0.9795918367346939,80,0.975609756097561
Full_temporal_82,100,0.7,882,18,0.98,0.9693877551020408,0.9290696913247748,0.9233317110110212,4,720,0.9849521203830369,36,0.9473684210526315,47,0.9591836734693877,79,0.9634146341463414
Full_temporal_82,100,0.8,869,31,0.9655555555555555,0.9769850402761795,0.9536369590162159,0.9419956646960016,4,715,0.9781121751025992,34,0.8947368421052632,44,0.8979591836734694,76,0.926829268292683
Full_temporal_82,100,0.9,852,48,0.9466666666666667,0.9800469483568075,0.9644428106630973,0.9505927352101922,4,708,0.9685362517099864,34,0.8947368421052632,41,0.8367346938775511,69,0.8414634146341463
Full_temporal_82,100,0.95,833,67,0.9255555555555556,0.9843937575030012,0.9742658730158731,0.9596344286006513,4,700,0.957592339261286,30,0.7894736842105263,40,0.8163265306122449,63,0.7682926829268293
