class,class_name,feature,mean_abs_shap
1,Normal mode,CO_first,5.086589434462227
1,Normal mode,CO_max_abs_diff,5.075017495962706
1,Normal mode,CO_q75,4.470928457031067
1,Normal mode,CO_median,4.3367431322165055
1,Normal mode,CO_last,4.041227761720415
1,Normal mode,C2H4_late_minus_early,3.736695894850083
1,Normal mode,CO_early_mean,3.655196932288956
1,Normal mode,CO_late_mean,3.5996931871605473
1,Normal mode,C2H4_min,3.1381067741730377
1,Normal mode,C2H2_max_abs_diff,2.8654436616076335
1,Normal mode,CO_mean,2.586189951029016
1,Normal mode,C2H4_slope,2.5320234864321844
1,Normal mode,H2_min,2.269965472728239
1,Normal mode,CO_min,2.211524661025014
1,Normal mode,corr_H2_C2H4,1.9145128120625061
1,Normal mode,CO_positive_diff_fraction,1.6797798045611056
1,Normal mode,H2_max_abs_diff,1.6192847390085932
1,Normal mode,C2H4_max_abs_diff,1.606299030932857
1,Normal mode,C2H4_delta,1.5117404538376138
1,Normal mode,C2H4_mean_diff,1.5117404538371806
1,Normal mode,C2H4_positive_diff_fraction,1.4974041973531507
1,Normal mode,C2H4_early_mean,1.4718917118137957
1,Normal mode,H2_median,1.4555265409455906
1,Normal mode,H2_std,1.4140102699004278
1,Normal mode,C2H4_median,1.4027781660909404
1,Normal mode,C2H2_q75,1.4005333845753807
1,Normal mode,C2H4_std,1.3890081986265006
1,Normal mode,C2H2_std,1.3690351107671128
1,Normal mode,C2H4_q25,1.3484995298459417
1,Normal mode,C2H2_q25,1.2875747761758072
1,Normal mode,C2H2_std_diff,1.261129676153144
1,Normal mode,C2H2_max,1.2423052138538246
1,Normal mode,CO_max,1.2334425114423258
1,Normal mode,C2H2_median,1.164101378308307
1,Normal mode,C2H2_min,1.1639595354727557
1,Normal mode,H2_slope,1.1176917824367163
1,Normal mode,C2H4_max,1.0496244121774854
1,Normal mode,C2H2_late_minus_early,1.013843327279632
1,Normal mode,H2_positive_diff_fraction,1.0108786349286245
1,Normal mode,H2_q75,0.9587261222407406
1,Normal mode,C2H4_trend_r2,0.9433911564706583
1,Normal mode,C2H4_first,0.9290572999037963
1,Normal mode,H2_first,0.899260933026108
1,Normal mode,CO_trend_r2,0.8984344097245942
1,Normal mode,C2H2_slope,0.7942549969176954
1,Normal mode,CO_q25,0.7845776393441942
1,Normal mode,H2_last,0.7771503691235679
1,Normal mode,C2H4_q75,0.7210052669729631
1,Normal mode,H2_trend_r2,0.701976539620882
1,Normal mode,C2H2_positive_diff_fraction,0.6621003739789912
1,Normal mode,C2H2_first,0.6583012027697653
1,Normal mode,CO_late_minus_early,0.6434197818245666
1,Normal mode,H2_max,0.6137183439840107
1,Normal mode,C2H2_trend_r2,0.5577810677333529
1,Normal mode,H2_early_mean,0.5452159842025605
1,Normal mode,H2_late_mean,0.5129132183643458
1,Normal mode,C2H4_late_mean,0.5078150777751221
1,Normal mode,CO_std_diff,0.4890118385494869
1,Normal mode,corr_H2_CO,0.4861481679395595
1,Normal mode,C2H2_delta,0.4752972720792421
1,Normal mode,C2H2_mean_diff,0.47529727207352557
1,Normal mode,C2H4_std_diff,0.4745985681225038
1,Normal mode,corr_H2_C2H2,0.4558562153572914
1,Normal mode,C2H2_early_mean,0.3992205462369186
1,Normal mode,H2_std_diff,0.3672368968226202
1,Normal mode,C2H2_mean,0.32863479448327504
1,Normal mode,CO_std,0.3216639026409143
1,Normal mode,H2_q25,0.31203306855039664
1,Normal mode,corr_CO_C2H4,0.29206555298131986
1,Normal mode,C2H2_last,0.2683987359740718
1,Normal mode,CO_delta,0.22303822189866476
1,Normal mode,CO_mean_diff,0.22303822189825845
1,Normal mode,H2_mean,0.19816073337747434
1,Normal mode,corr_CO_C2H2,0.1862917596577071
1,Normal mode,C2H4_mean,0.1466347985515685
1,Normal mode,C2H2_late_mean,0.12742791306862739
1,Normal mode,H2_delta,0.11701813075530702
1,Normal mode,H2_mean_diff,0.11701813075418765
