param_lr__C,param_lr__class_weight,mean_test_score,std_test_score,rank_test_score
100.0,balanced,0.9158686431719729,0.025360223634779914,1
3.0,,0.9155954436136401,0.02041107350274497,2
10.0,balanced,0.9146935600373052,0.027158147103096466,3
30.0,balanced,0.9124260616664019,0.02924386082372682,4
30.0,,0.9121562576396748,0.027174562539031236,5
100.0,,0.9089082850808525,0.022467268941993745,6
3.0,balanced,0.9085571297090731,0.024526346758885986,7
10.0,,0.9079145175680173,0.02453914973962127,8
1.0,balanced,0.9068473159781277,0.017205882064674806,9
1.0,,0.9063015215019116,0.02423007924011374,10
0.1,,0.8971986570802513,0.01380833920457515,11
0.3,,0.8969871346899655,0.013217023456428825,12
0.3,balanced,0.8891290972073854,0.01612326487695705,13
0.03,,0.8709799800951792,0.020042125504503634,14
0.1,balanced,0.8676856560046184,0.02306803207922023,15
0.01,,0.8402739296914781,0.026615563508316408,16
0.03,balanced,0.8350664554643658,0.023017272345114196,17
0.01,balanced,0.7850709512067724,0.02235388613989195,18
