representation,n_features,training_cv_macro_f1_mean,training_cv_macro_f1_std,test_macro_f1,test_balanced_accuracy,test_accuracy,training_matrix_rank_after_scaling,delta,ci_low,ci_high
Statistical-28,28,0.8249042039844368,0.015714440015512206,0.8390434354033669,0.9146638608872214,0.92,28,,,
Stat28 + endpoint,36,0.8749118202359639,0.027551352097675518,0.8907325300922402,0.9552899749026995,0.9411111111111111,36,0.05168909468887328,0.019304701373789313,0.08584367941060772
Stat28 + trend,36,0.8410077575999442,0.02225469843263073,0.8433585049036019,0.9098593955897432,0.9233333333333333,36,0.004315069500234969,-0.026429773462656042,0.035073488402569956
Stat28 + local roughness,40,0.8551769761293866,0.017800232934364855,0.8734486271646067,0.9376508148711317,0.9344444444444444,40,0.034405191761239795,-0.000721321481051189,0.06930149481319983
Stat28 + segment level,36,0.84702831640645,0.02277756272849749,0.8579962614283068,0.9346678068785504,0.9255555555555556,36,0.01895282602493986,-0.008037728165841182,0.046207731973015455
Stat28 + correlations,34,0.824936446087335,0.026431836062093775,0.8359270071365084,0.9069840283487786,0.9166666666666666,34,-0.0031164282668585397,-0.031096141327589033,0.024518786591586017
Temporal-70 nonredundant,70,0.8616701620992206,0.02408912965026055,0.8906950067905379,0.9414127847753724,0.9466666666666667,70,0.051651571387171025,0.017084473346905715,0.08697743659833197
Temporal-82 original,82,0.8634011239043261,0.027866723331737217,0.8945665618972186,0.9262003529656183,0.9511111111111111,70,0.055523126493851716,0.01764792700452848,0.09362280498258478
T70 minus endpoint_level,62,0.8553566273625279,0.02232632102387888,0.8850175421963815,0.9444628420075676,0.9411111111111111,62,0.04597410679301461,0.01168547480269648,0.08088632037748723
T70 minus trend,62,0.8709774210987742,0.036243794275280565,0.8819584024408027,0.9258596324459867,0.9433333333333334,62,0.0429149670374358,0.0031193679946219743,0.08215362768908889
T70 minus local_roughness,58,0.8588867091553695,0.02800397073843143,0.8632011348348696,0.919281961821956,0.9355555555555556,58,0.0241576994315027,-0.01116474329660625,0.06039678060609747
T70 minus segment_level,62,0.8626749863335054,0.02113419734689228,0.8902574753403483,0.9402778754872997,0.9477777777777778,62,0.05121403993698137,0.015131733114365156,0.0869255255104623
T70 minus cross_gas_correlation,64,0.8676574174966849,0.023877711952864138,0.8949960204820513,0.9429846587110827,0.9477777777777778,64,0.05595258507868439,0.02454174318915177,0.09015042129943246
