window,severity,repeat,macro_f1
1,0.02,0,0.2761140877868354
1,0.02,1,0.27900842331951053
1,0.02,2,0.2730916584319026
1,0.05,0,0.23897787820039862
1,0.05,1,0.24319826935437416
1,0.05,2,0.23938976658862748
3,0.02,0,0.4044419584713565
3,0.02,1,0.413806923584004
3,0.02,2,0.4008566281957139
3,0.05,0,0.2933256795945456
3,0.05,1,0.2927114747368076
3,0.05,2,0.30560687230361944
5,0.02,0,0.5066614221733547
5,0.02,1,0.4906664374894881
5,0.02,2,0.5055246446722864
5,0.05,0,0.35824224683396905
5,0.05,1,0.35618094933984107
5,0.05,2,0.36070475842290284
7,0.02,0,0.5228804881872184
7,0.02,1,0.5231027450830089
7,0.02,2,0.5308424790093836
7,0.05,0,0.40780959757631874
7,0.05,1,0.40565026975164276
7,0.05,2,0.40662929139888904
11,0.02,0,0.5658241070380647
11,0.02,1,0.5570816440578824
11,0.02,2,0.5612505553021698
11,0.05,0,0.44415268806787467
11,0.05,1,0.4366373474045151
11,0.05,2,0.44824928096355393
